"Date","Price","Open","High","Low","Vol.","Change %"
"09/19/2018","6.80","6.76","6.82","6.71","224.86M","0.29%"
"09/18/2018","6.78","6.85","6.96","6.77","299.52M","-1.02%"
"09/17/2018","6.85","6.89","6.93","6.83","205.53M","-0.87%"
"09/14/2018","6.91","6.87","6.98","6.84","386.94M","1.92%"
"09/13/2018","6.78","6.77","6.88","6.75","305.54M","1.04%"
"09/12/2018","6.71","6.78","6.80","6.55","419.09M","-1.61%"
"09/11/2018","6.82","6.82","6.91","6.80","243.11M","-0.73%"
"09/10/2018","6.87","6.82","6.90","6.78","220.14M","1.03%"
"09/07/2018","6.80","6.72","6.92","6.68","295.42M","-0.29%"
"09/06/2018","6.82","6.94","6.95","6.78","322.80M","-2.01%"
"09/05/2018","6.96","7.07","7.11","6.88","393.16M","-1.83%"
"09/04/2018","7.09","7.00","7.13","6.97","391.72M","1.00%"
"08/31/2018","7.02","6.92","7.03","6.92","306.59M","1.01%"
"08/30/2018","6.95","6.93","7.04","6.91","346.61M","-0.14%"
"08/29/2018","6.96","6.85","6.99","6.83","420.11M","1.46%"
"08/28/2018","6.86","6.89","6.91","6.74","475.38M","-0.58%"
"08/27/2018","6.90","6.84","6.97","6.80","505.78M","1.32%"
"08/24/2018","6.81","6.68","6.82","6.67","531.51M","2.10%"
"08/23/2018","6.67","6.53","6.74","6.52","720.68M","1.52%"
"08/22/2018","6.57","6.30","6.58","6.30","749.86M","3.79%"
"08/21/2018","6.33","6.21","6.34","6.19","673.99M","2.10%"
"08/20/2018","6.20","6.08","6.33","5.97","854.39M","1.31%"
"08/17/2018","6.12","6.32","6.32","6.09","1.14B","-4.97%"
"08/16/2018","6.44","6.55","6.55","6.38","801.26M","-0.62%"
"08/15/2018","6.48","6.56","6.59","6.40","591.14M","-0.92%"
"08/14/2018","6.54","6.51","6.55","6.43","466.22M","2.19%"
"08/13/2018","6.40","6.38","6.53","6.38","375.21M","0.47%"
"08/10/2018","6.37","6.33","6.40","6.32","256.63M","-0.62%"
"08/09/2018","6.41","6.48","6.48","6.40","204.28M","-0.77%"
"08/08/2018","6.46","6.42","6.51","6.39","262.10M","0.62%"
"08/07/2018","6.42","6.40","6.44","6.37","258.13M","1.10%"
"08/06/2018","6.35","6.29","6.35","6.24","207.51M","0.79%"
"08/03/2018","6.30","6.29","6.33","6.27","214.29M","0.48%"
"08/02/2018","6.27","6.09","6.27","6.03","269.67M","1.79%"
